,,Suaves colombianos (arábigo),,,Otros suaves (arábigo),,,Naturales del Brasil (arábigo),,,Robustas,,,
Mes,Precio del indicador compuesto OIC,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,
sept-18,"98,17","127,01","124,10","125,74","124,39","118,63","121,18","92,46","102,45","99,87","80,41","75,90","76,70",
oct-18,"111,01","141,35","139,44","140,49","140,21","134,50","137,01","107,26","118,13","115,30","88,32","84,61","85,28",
nov-18,"109,59","141,64","136,80","139,27","142,12","133,41","137,11","107,94","115,22","113,27","86,74","82,85","83,52",
dic-18,"100,61","129,70","126,10","127,86","130,92","124,31","127,10","96,47","104,17","102,10","81,28","76,79","77,57",
ene-19,"101,56","130,42","127,82","129,28","132,62","125,11","128,46","97,20","104,92","102,94","81,77","77,47","78,24",
feb-19,"100,67","130,53","124,85","127,93","134,48","123,75","128,45","97,39","101,02","100,06","82,59","77,78","78,65",
mar-19,"97,50","128,36","121,42","125,23","129,40","119,56","123,89","94,93","96,13","95,81","81,05","76,06","76,96",
abr-19,"94,42","128,58","119,34","124,42","128,44","115,39","121,13","92,88","92,33","92,47","78,14","72,21","73,28",
may-19,"93,33","128,42","119,45","124,40","127,79","114,83","120,55","91,86","91,98","91,95","76,99","69,82","71,12",
jun-19,"99,97","137,01","129,18","133,49","137,97","123,26","129,73","101,01","100,58","100,69","80,10","72,68","74,02",
jul-19,"103,01","140,06","134,00","137,63","141,29","130,49","135,47","103,18","105,98","105,43","79,96","72,56","73,93",
ago-19,"96,07","133,51","123,93","129,20","134,50","119,74","126,23","95,84","95,85","95,85","77,92","69,21","70,78",
sept-19,"97,74","136,05","127,04","131,90","136,43","123,10","128,89","98,37","98,91","98,73","78,94","68,81","70,64",
oct-19,"97,35","135,91","127,03","132,09","133,43","122,87","126,99","96,15","98,83","98,10","77,50","66,69","68,63",
nov-19,"107,23","150,59","139,34","146,12","148,81","135,60","140,98","107,88","110,45","109,94","82,60","71,23","73,28",
dic-19,"117,37","165,35","156,84","161,50","164,37","152,59","157,11","124,18","126,89","126,36","83,10","71,32","73,22",
ene-20,"106,89","152,26","141,33","147,52","150,36","137,02","142,19","109,10","111,33","110,73","79,15","68,68","70,55",
feb-20,"102,00","156,26","133,09","146,43","145,86","128,80","135,50","103,39","102,28","102,62","77,29","66,05","68,07",
mar-20,"109,05","169,70","144,80","158,99","161,46","139,93","148,33","112,27","113,09","112,87","76,96","65,37","67,46",
abr-20,"108,91","172,11","148,06","161,92","163,70","148,51","154,52","108,46","112,15","111,22","74,39","61,66","63,97",
may-20,"104,44","163,86","143,27","154,97","155,93","146,03","149,85","96,51","103,69","101,70","75,13","62,15","64,50",
jun-20,"99,09","156,04","135,59","147,25","147,33","137,90","141,58","86,76","94,82","92,64","74,95","62,31","64,58",
jul-20,"103,66","162,42","141,44","153,38","151,50","143,78","146,78","93,47","99,63","97,96","78,33","65,38","67,69",
ago-20,"114,78","175,54","155,97","167,22","166,24","161,10","163,25","104,72","114,32","111,79","82,24","70,57","72,68",
sept-20,"116,25","175,75","157,70","168,36","169,05","164,61","166,56","107,30","116,02","113,81","81,10","70,92","72,77",
oct-20,"105,85","161,92","144,16","154,28","154,12","150,74","152,06","94,92","102,39","100,37","76,79","66,51","68,36",
nov-20,"109,60","169,80","149,56","161,21","153,23","148,26","150,26","102,01","107,98","106,41","81,22","70,43","72,38",
dic-20,"114,74","179,66","158,22","170,44","162,93","154,53","157,81","110,55","116,60","114,96","80,85","70,10","72,04",
ene-21,"115,73","182,53","161,14","173,42","165,28","157,64","160,69","110,16","119,05","116,69","81,14","68,42","70,71",
feb-21,"119,35","187,09","163,82","176,96","170,89","163,75","166,43","113,83","122,50","120,06","85,34","70,76","73,37",
mar-21,"120,36","186,13","166,04","177,49","169,97","165,18","167,05","114,87","124,86","122,16","86,32","71,12","73,86",
abr-21,"122,03","192,19","168,59","181,70","173,55","165,89","168,65","118,29","126,56","124,18","91,25","70,85","74,47",
may-21,"134,78","207,84","187,33","199,02","191,86","183,01","186,46","135,46","142,84","140,85","94,28","76,48","79,68",
jun-21,"141,02","215,41","194,80","206,55","198,60","188,47","192,42","144,13","149,58","148,11","98,70","81,82","84,85",
jul-21,"152,24","227,29","207,21","218,66","209,53","200,94","204,29","157,23","161,88","160,62","102,62","92,55","94,37",
ago-21,"160,14","228,95","220,70","225,40","222,20","212,43","216,24","171,75","176,05","174,89","105,00","93,02","95,18",
sept-21,"170,02","248,61","229,46","240,38","229,72","222,86","225,54","180,15","185,03","183,72","112,00","102,98","104,60",
oct-21,"181,57","270,27","243,13","258,87","247,88","237,22","241,06","201,61","199,37","199,98","109,55","104,42","105,24",
nov-21,"195,17","291,93","262,48","279,56","265,26","255,41","258,95","220,52","218,30","218,90","114,43","108,44","109,40",
dic-21,"203,06","302,82","273,66","290,55","273,88","264,24","267,71","230,72","230,10","230,26","117,05","111,94","112,76",
ene-22,"204,29","307,28","277,88","294,93","276,46","268,05","271,08","233,25","234,00","233,80","114,98","108,71","109,71",
feb-22,"210,89","319,63","288,15","306,41","287,71","275,40","279,83","245,92","244,72","245,05","118,31","107,73","109,43",
mar-22,"194,78","299,63","266,74","285,81","268,03","253,12","258,49","222,64","221,80","222,03","109,63","102,72","103,82",
abr-22,"198,37","308,39","270,90","292,64","275,79","259,56","265,40","228,41","225,27","226,11","112,82","102,28","103,96",
may-22,"193,71","302,77","263,89","286,44","272,93","253,38","260,42","221,56","216,47","217,84","113,52","101,11","103,10",
