,,Suaves colombianos (arábigo),,,Otros suaves (arábigo),,,Naturales del Brasil (arábigo),,,Robustas,,,
Mes,Precio del indicador compuesto OIC,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,
abr-04,"58,79","73,45","73,97","75,22","74,24","76,63","75,44","62,89","63,89","63,70","38,02","35,96","36,37",
may-04,"59,91","80,62","75,02","77,17","76,40","77,73","76,99","64,31","65,52","65,16","38,04","36,19","36,58",
jun-04,"64,28","85,62","80,28","82,51","82,24","82,05","82,21","67,62","70,06","69,61","41,09","39,54","39,87",
jul-04,"58,46","78,27","74,70","76,13","73,64","76,22","74,94","59,39","63,77","62,89","36,44","35,90","36,02",
ago-04,"56,98","78,85","73,01","75,35","72,98","74,23","73,61","60,25","62,13","61,75","34,81","33,68","33,91",
sept-04,"61,47","85,71","78,12","81,02","81,22","80,02","80,47","69,46","68,84","68,90","35,10","34,04","34,24",
oct-04,"61,10","85,52","81,35","83,02","79,90","81,21","80,55","68,63","70,23","69,91","31,77","31,65","31,67",
nov-04,"67,74","95,62","90,10","92,83","89,88","89,89","90,27","80,20","78,66","79,39","34,07","32,32","32,57",
dic-04,"77,72","106,48","104,36","105,75","102,19","104,86","104,12","89,17","92,08","91,76","38,98","36,49","36,92",
ene-05,"79,35","110,03","107,09","108,22","107,06","107,36","107,16","94,00","93,56","93,63","39,63","36,30","36,96",
feb-05,"89,40","124,34","119,55","121,56","122,20","119,26","120,86","108,05","105,58","106,11","44,61","40,40","41,24",
mar-05,"101,44","137,10","134,49","135,54","134,81","135,25","135,03","117,03","120,89","120,12","50,70","49,22","49,51",
abr-05,"97,96","129,74","129,24","129,51","128,58","129,95","129,26","112,57","114,90","114,48","53,17","49,97","50,61",
may-05,"99,78","128,36","129,21","128,87","126,21","130,54","128,37","111,89","115,72","114,96","58,66","55,55","56,07",
jun-05,"96,29","122,47","120,51","121,29","119,90","122,44","121,16","105,08","107,76","107,23","63,19","59,29","60,02",
jul-05,"88,48","112,47","109,72","110,79","108,45","111,41","109,93","94,66","97,04","96,56","60,57","57,18","57,88",
ago-05,"85,31","111,21","107,43","108,94","108,43","103,55","108,16","95,64","94,81","94,98","55,60","51,07","51,97",
sept-05,"78,79","101,31","100,76","101,15","98,36","100,41","99,49","87,02","89,99","89,48","50,04","46,03","46,43",
oct-05,"82,55","108,77","104,59","106,21","106,09","104,54","105,04","94,54","94,69","94,40","50,84","46,85","47,53",
nov-05,"85,93","111,66","107,18","109,00","108,81","107,11","107,74","99,35","97,63","97,96","54,72","50,78","51,45",
dic-05,"86,85","106,54","106,28","107,69","102,61","106,10","105,77","96,12","97,25","97,57","58,78","55,67","56,39",
ene-06,"101,20","129,64","125,24","126,92","124,26","124,49","124,20","115,89","114,84","114,98","66,46","62,77","63,39",
feb-06,"97,39","123,17","120,01","121,31","118,46","119,70","119,12","109,51","108,91","109,01","65,50","62,45","62,98",
mar-06,"92,76","111,75","115,26","116,01","112,20","114,76","113,66","103,52","104,02","103,92","62,92","58,92","59,60",
abr-06,"94,20","119,87","116,37","117,87","114,65","116,01","115,42","105,89","105,39","105,49","64,45","59,75","60,55",
may-06,"90,00","113,03","111,43","111,81","107,96","111,03","109,36","99,00","99,63","99,29","63,97","59,32","60,13",
jun-06,"86,04","106,84","104,97","105,83","101,21","104,55","103,15","91,26","93,68","93,27","64,14","59,43","60,23",
jul-06,"88,57","109,45","106,56","107,85","102,77","106,49","105,00","91,01","95,39","94,56","68,66","63,62","64,49",
ago-06,"95,78","116,22","112,57","114,14","112,13","111,43","111,73","98,90","100,74","100,37","75,73","73,15","73,59",
sept-06,"95,98","112,21","111,51","111,88","109,36","110,11","109,83","97,21","100,06","99,53","77,88","76,93","77,11",
oct-06,"95,53","113,73","111,76","112,67","110,91","110,33","110,63","97,41","99,57","99,23","76,30","74,95","75,17",
nov-06,"103,48","126,22","122,23","123,95","123,57","121,27","122,27","109,34","110,17","110,04","79,67","76,28","76,79",
dic-06,"108,01","132,85","130,54","131,41","129,93","127,38","128,44","115,60","117,84","117,36","77,71","76,22","76,67",
ene-07,"105,81","127,54","124,89","126,07","124,40","124,45","124,53","111,99","112,61","112,50","80,55","78,81","79,13",
feb-07,"104,18","125,54","122,62","123,82","122,34","121,89","122,03","109,78","110,12","110,03","80,97","78,72","79,08",
mar-07,"100,09","119,92","117,13","118,33","116,44","117,57","117,08","102,34","105,55","104,91","78,95","76,60","77,00",
abr-07,"99,30","117,50","115,07","116,11","114,56","114,59","166,05","100,84","102,53","102,22","81,64","79,25","79,58",
may-07,"100,09","116,14","114,17","115,01","112,35","113,93","113,24","99,66","101,94","101,49","86,06","83,71","83,91",
jun-07,"107,03","122,35","120,34","121,20","118,76","119,76","119,33","105,89","107,68","107,32","94,76","92,26","92,68",
jul-07,"106,20","122,32","119,75","120,78","116,80","118,35","117,63","105,25","106,52","106,24","93,47","92,29","89,78",
ago-07,"107,98","126,68","124,12","125,22","123,53","122,95","123,19","112,47","111,55","111,73","88,51","87,16","87,44",
sept-07,"113,17","131,51","129,86","130,37","127,60","128,39","128,04","116,05","117,41","117,14","93,26","92,66","92,78",
oct-07,"115,71","137,71","135,35","136,49","134,43","134,01","134,29","120,95","122,28","122,12","97,34","89,73","91,10",
nov-07,"114,43","133,81","132,85","133,32","130,28","131,50","131,00","118,99","120,10","119,87","92,28","92,61","92,59",
dic-07,"118,16","139,87","140,29","140,12","136,47","138,31","137,58","124,06","126,48","125,93","91,37","91,74","91,39",
ene-08,"122,33","143,37","142,14","142,66","139,10","140,49","139,86","126,26","128,46","127,93","100,68","98,91","99,21",
feb-08,"138,82","161,30","158,95","159,90","158,03","156,89","157,29","142,25","144,29","143,78","117,10","115,13","115,45",
mar-08,"135,72","151,47","152,72","151,64","148,06","152,08","149,89","130,45","138,93","136,41","122,44","121,30","121,92",
abr-08,"126,55","142,41","141,76","142,04","138,06","142,62","140,70","123,01","129,02","127,67","112,34","111,12","111,28",
may-08,"126,76","143,51","143,63","143,60","139,32","143,69","141,95","125,18","130,81","129,52","109,58","108,75","108,88",
jun-08,"130,53","150,58","148,02","149,15","144,90","147,05","146,15","130,52","134,59","133,65","112,16","111,16","111,34",
jul-08,"132,78","151,58","150,58","151,18","145,10","148,67","147,36","131,10","135,90","134,88","115,09","114,80","114,80",
ago-08,"131,14","154,23","148,52","151,03","146,03","146,72","146,43","131,85","133,71","133,28","113,48","112,59","112,56",
sept-08,"126,69","150,20","146,65","148,36","141,50","144,29","143,27","126,82","131,18","130,26","106,67","105,04","105,38",
oct-08,"108,31","133,37","128,93","130,99","122,04","124,44","123,59","104,57","111,72","110,27","89,69","88,57","88,77",
nov-08,"118,09","137,49","141,37","143,46","132,67","134,31","136,20","118,93","125,54","124,60","99,84","98,27","98,39",
dic-08,"107,88","133,40","127,93","130,45","120,76","122,58","121,89","102,74","109,56","107,96","92,81","90,19","90,76",
ene-09,"108,39","148,88","137,62","142,32","128,03","128,93","128,30","101,43","111,65","109,18","85,77","82,11","82,74",
feb-09,"107,60","149,58","140,74","144,55","128,63","130,13","129,48","100,45","109,87","107,69","81,66","79,90","80,22",
mar-09,"105,87","162,00","148,00","154,16","127,76","129,07","128,52","97,48","104,40","102,81","77,48","76,05","76,31",
abr-09,"111,61","190,94","173,29","181,10","134,44","135,19","134,88","101,46","107,28","105,95","76,50","75,36","75,53",
